Array Length,Presorted Rate,Duplicate Rate,Max Digits,Fastest Sort
27,0.5769,0.1111,8,I
10,0.7778,0.1,8,I
37,0.6667,0.1622,8,I
9,0.625,0.1111,6,I
62,0.7213,0.2419,8,I
12,0.6364,0.25,8,I
53,0.6731,0.1509,8,I
68,0.7313,0.2353,9,I
74,0.6438,0.2432,9,I
71,0.6286,0.0423,9,I
46,0.5778,0.087,9,I
58,0.6842,0.2069,9,I
15,0.5714,0.1333,9,I
49,0.7292,0.0612,9,I
4,1,0.25,7,I
15,0.7143,0.1333,10,I
64,0.7302,0.2344,10,I
86,0.5882,0.2558,10,I
67,0.6061,0.1642,10,I
98,0.5155,0.0408,9,I
9,0.625,0.2222,9,I
32,0.5484,0.1875,9,I
74,0.8082,0.7568,1,I
72,0.5915,0.0139,10,I
86,0.5647,0.1977,10,I
7,0.5,0.1429,7,I
